Diff_Accel_X,Diff_Accel_Y,Diff_Accel_Z,Magnitude_Accel,Magnitude_Gyro,Diff_Mag_Gyro,Diff_Mag_Accel,Is_High_Accel,Is_High_Accel_2,Is_High_Accel_3
0.0005,0.00115,0.0001,1.005836386,0.123693169,0.012787804,0.05249272,1,1,1
5e-05,0.00115,0.00035,0.927376194,0.060827625,0.062865543,0.078460192,1,0,1
0.00075,0.0016,0.0005,0.985365084,0.098488578,0.037660953,0.057988891,1,1,1
0.00045,0.0012,0.0001,1.028914996,0.112249722,0.013761144,0.043549912,1,1,1
0.0004,0.0005,0.0002,0.970487454,0.114455231,0.00220551,0.058427542,1,1,1
0.00015,0.00065,5e-05,0.970891328,0.096953597,0.017501634,0.000403874,1,1,0
0.00045,0.00215,0.0,1.014346952,0.086023253,0.010930344,0.043455624,1,1,1
0.00035,0.0023,0.00015,1.003207857,0.102469508,0.016446255,0.011139095,1,1,0
0.00025,0.0008,0.0003,0.961700609,0.123693169,0.021223661,0.041507248,1,1,1
0.0002,0.00075,0.0,0.978696582,0.108166538,0.015526631,0.016995973,1,1,0
0.0008,0.00075,0.0001,0.956830388,0.139283883,0.031117345,0.021866194,1,0,0
0.0002,0.0023,0.0002,0.990746035,0.116619038,0.022664845,0.033915647,1,1,1
0.0004,0.0018,0.0001,1.035321869,0.090553851,0.026065187,0.044575833,1,1,1
5e-05,0.0002,0.00035,0.967450952,0.102469508,0.011915656,0.067870917,1,1,1
0.00015,0.0009,0.0002,0.995133163,0.106301458,0.00383195,0.027682211,1,1,1
0.0001,0.00015,0.00015,0.962318523,0.136381817,0.030080359,0.032814639,0,1,1
0.0001,0.00235,5e-05,0.989165862,0.072801099,0.063580718,0.026847339,1,1,1
0.0002,0.0008,5e-05,0.997638631,0.092736185,0.019935086,0.008472769,1,1,0
0.00025,0.00055,0.0002,1.021413956,0.120415946,0.027679761,0.023775325,1,1,1
0.00025,0.0006,0.00035,0.968853235,0.111803399,0.008612547,0.052560721,1,1,1
0.00015,0.001,5e-05,0.965361118,0.092195445,0.019607954,0.003492117,1,1,0
0.00015,0.0019,0.0,0.938766223,0.125698051,0.033502606,0.026594895,1,0,1
0.0003,5e-05,0.0001,0.970970244,0.102469508,0.023228543,0.032204021,1,1,1
0.00015,0.0005,0.0001,0.961863222,0.076811457,0.02565805,0.009107023,1,1,0
0.00035,0.0004,0.0002,1.01239104,0.099498744,0.022687286,0.050527818,1,1,1
0.00025,0.00075,0.0001,0.977393006,0.117046999,0.017548255,0.034998034,1,1,1
0.00045,0.0007,5e-05,0.972919753,0.106301458,0.010745541,0.004473253,1,1,0
0.0008,0.0019,0.00035,0.959530659,0.122065556,0.015764098,0.013389094,1,1,0
0.0002,0.00065,0.00035,0.891477915,0.315753068,0.193687512,0.068052744,1,0,1
0.0002,0.00065,0.00055,0.998458223,0.222934968,0.0928181,0.106980309,1,1,1
0.00075,0.0005,0.00045,1.04786154,0.20904545,0.013889518,0.049403317,1,1,1
0.0022,0.00105,0.00025,0.906563408,0.21023796,0.001192511,0.141298133,1,0,1
0.00095,0.0002,0.00055,1.04935482,0.358329457,0.148091497,0.142791412,1,1,1
5e-05,0.0002,0.0013,0.794205964,0.193390796,0.164938661,0.255148856,1,0,1
0.00155,0.0012,0.00035,0.777041174,0.147986486,0.04540431,0.017164789,1,0,0
0.0002,0.0015,0.00065,0.925674804,0.174928557,0.026942071,0.14863363,1,0,1
0.00105,0.00055,0.0005,0.987627172,0.107703296,0.067225261,0.061952368,1,1,1
0.001,0.0003,0.0,0.946948404,0.121243557,0.01354026,0.040678768,1,0,1
0.00015,0.00035,0.00025,0.986778945,0.072801099,0.048442458,0.039830541,1,1,1
0.00135,0.00055,0.0004,1.029432118,0.134907376,0.062106277,0.042653173,1,1,1
0.0009,0.0005,0.0002,0.958931174,0.124096736,0.010810639,0.070500944,1,0,1
0.00155,0.0,0.00035,0.934644847,0.380657326,0.25656059,0.024286326,1,0,1
0.0007,0.0008,0.0003,0.964617968,0.171464282,0.209193044,0.029973121,1,1,1
5e-05,0.00195,0.0004,1.033078971,0.043588989,0.127875293,0.068461003,1,1,1
0.00085,0.0003,0.0001,1.079103823,0.16881943,0.125230441,0.046024852,1,1,1
0.00755,0.00405,0.00205,1.066066446,0.200997512,0.032178082,0.013037378,1,1,0
0.00385,0.00275,0.00095,1.012756355,0.441927596,0.240930083,0.05331009,1,1,1
